Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
5016180,1,1,1,"1,000 pc","Stirrer wood, Paardekooper Non-food CN",3.80,5.99,3.80,Order_4191827.pdf
5016194,1,1,1,75 gram,"Tea-powder classic matcha, PuraBsioalnogaisch BE",8.15,13.59,8.15,Order_4191827.pdf
5016241,1,1,6,250 gram,"Hazelnut-spread crunchy, NoccioBlaiotlaogisch IT",2.58,3.99,15.48,Order_4191827.pdf
5016326,1,1,12,100 gram,"Potato-chips truffle, Trafo Biologisch . NL",2.09,3.69,25.08,Order_4191827.pdf
5016475,1,1,6,1 litre,"Coconutwater, Dr. Antonio MartinBsiologisch NL",3.29,5.99,19.74,Order_4191827.pdf
5016476,1,1,1,1 pc,"Frying-pan 24 cm ECO-OK, TVS Non-food IT",29.34,56.99,29.34,Order_4191827.pdf
5016579,1,1,21,80 pc,"Tissues, Grazie Natural Niet-agrarisch IT",1.12,2.29,23.52,Order_4191827.pdf
5016585,1,1,6,8 pc,"Toilet-paper 3-layer, Grazie NatuNraiel t-agrarisch IT",2.07,3.99,12.42,Order_4191827.pdf
5016622,1,1,6,175 gram,"Pistachio-paste, Horizon Biologisch NL",8.29,14.69,49.74,Order_4191827.pdf
5016671,1,1,12,200 gram,"Beluga-lentils, La Bio Idea Biologisch CA",0.99,1.79,11.88,Order_4191827.pdf
5016715,1,1,6,125 gram,"Walnuts, Horizon Biologisch NL",2.05,3.69,12.30,Order_4191827.pdf
5016754,1,1,6,100 gram,"Mango disks, Horizon Biologisch NL",2.71,4.99,16.26,Order_4191827.pdf
5016781,1,1,12,39 gram,"Chocolate-Cups peanut, Bett'r Biologisch BG",1.15,1.99,13.80,Order_4191827.pdf
5016882,1,1,12,25 gram,"Nori sheets, TerraSana Biologisch NL",3.29,5.79,39.48,Order_4191827.pdf
5016901,1,1,6,20 gram,"Seaveg-crispies orginal multipackB,i oClolgeiascrshpring GB",3.24,5.69,19.44,Order_4191827.pdf
5016969,5,5,6,1 litre,"Oatmeal barista, Oatly Biologisch NL",1.71,2.99,51.30,Order_4191827.pdf
5016989,1,1,6,150 gram,"Black-pepper, Cook Biologisch FR",4.78,8.49,28.68,Order_4191827.pdf
5016992,1,1,6,100 gram,"Cumin ground, Cook Biologisch FR",5.24,9.29,31.44,Order_4191827.pdf
5017007,1,1,18,40 gram,"Chocolate-bar crème brûlée, VivaBnioilogisch DE",0.90,1.59,16.20,Order_4191827.pdf
5017039,1,1,1,50 pc,"Laundry-detergent ecoegg refill, ENcoon-efogogd NL",3.64,6.99,3.64,Order_4191827.pdf
5017110,1,1,7,100 gram,"Squeeze-bag quinoa apple, LoveBmioalodgeisch DK",1.04,1.85,7.28,Order_4191827.pdf
5017148,1,1,6,1 pc,"Tissues bamboo, The Good RollNon-food NL",1.56,3.09,9.36,Order_4191827.pdf
5018612,4,4,12,750 millilitre,"Mineral-water carbonic acid, lemoBnio,l oLgaisncdhpark Bio-quDeElle 313",0.85,1.49,40.80,Order_4191827.pdf
5018678,1,1,1,40 gram,"Garlic-powder, Duqqa! Biologisch NL",2.65,4.79,2.65,Order_4191827.pdf
5018793,1,1,6,100 gram,"Marshmallow chocolate, Belvas Biologisch BE",2.79,4.99,16.74,Order_4191827.pdf
5018804,1,1,6,480 gram,"Ketchup, La Bio Idea Biologisch NL",2.83,5.19,16.98,Order_4191827.pdf
5018880,1,1,6,220 gram,"Focaccia gluten-free, Schnitzer Biologisch . NL",2.61,4.69,15.66,Order_4191827.pdf
5018890,1,1,24,330 millilitre,"Sparkling cranberry, Whole EarthBiologisch NL10046",1.19,1.69,28.56,Order_4191827.pdf
6000346,1,1,6,200 gram,"Tomato-puree, Ekoplaza Biologisch IT",1.13,2.19,6.78,Order_4191827.pdf
6000467,1,1,12,60 millilitre,"Shot Ginger, Frankly Biologisch DK",0.93,1.99,11.16,Order_4191827.pdf
6000468,1,1,6,240 gram,"Naan garlic, TerraSana Biologisch NL",2.32,4.19,13.92,Order_4191827.pdf
6000542,1,1,6,2 pc,"Baguette multi-seed, ZonnemaireBiologisch NL",1.68,2.99,10.08,Order_4191827.pdf
6000572,2,2,1,500 millilitre,"MCT Oil premium, Amanprana Biologisch BE",17.00,28.99,34.00,Order_4191827.pdf
6000663,1,1,1,5 kilogram,"Basmati-rice white, Nature Bio FoBoiodlosgisch NL",12.09,21.99,12.09,Order_4191827.pdf
6000668,1,1,10,250 gram,"Tartelettes bianca hazelnut, NoccBiioollaotgaisch BE",2.18,3.43,21.80,Order_4191827.pdf
6000740,1,1,12,500 gram,"Capallini, Solleone Biologisch IT",1.90,3.49,22.80,Order_4191827.pdf
6000771,1,1,6,10 pc,"Toilet bomb fresh summer breezeN,o Yn-ofokoudu BE",4.55,8.99,27.30,Order_4191827.pdf
6000819,1,1,12,2 pc,"Sponge cloths vegetable, GreenhNuobn-food NL",1.61,3.19,19.32,Order_4191827.pdf
6001001,1,1,6,500 millilitre,"(cid:0)Extra virgin olive oil redline, BeneBoiolilvoagisch ES",13.81,24.95,82.86,Order_4191827.pdf
